# Constructed from biom file
#OTU ID	2280-046-AD01	2280-047-AD07	2280-048-B001	2280-049-B007	2280-050-B013	2280-051-B019	2280-052-N006	2280-053-N012	2280-054-AD02	2280-055-AD08	2280-056-B002	2280-057-B008	2280-058-B014	2280-059-N001	2280-060-N007	2280-061-N013	2280-062-AD03	2280-063-AD09	2280-064-B003	2280-065-B009	2280-066-B015	2280-067-N002	2280-068-N008	2280-069-N014	2280-070-AD04	2280-071-AD10	2280-072-B004	2280-073-B010	2280-074-B016	2280-075-N003	2280-076-N009	2280-077-AD06	2280-078-AD05	2280-079-AD11	2280-081-B011	2280-082-B017	2280-083-N004	2280-084-N010	2280-085-B006	2280-086-B012	2280-087-B018	2280-088-N005	2280-089-N011
d__Bacteria;p__Patescibacteria;c__WWE3;o__WWE3;f__WWE3;g__WWE3	104.0	0.0	155.0	124.0	0.0	2.0	80.0	3.0	146.0	0.0	170.0	10.0	41.0	74.0	131.0	0.0	0.0	0.0	218.0	0.0	33.0	123.0	199.0	6.0	0.0	0.0	78.0	222.0	0.0	38.0	81.0	0.0	0.0	0.0	36.0	0.0	219.0	91.0	0.0	0.0	18.0	146.0	60.0
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	109.0	103.0	92.0	116.0	44.0	96.0	25.0	184.0	66.0	104.0	18.0	44.0	59.0	95.0	27.0	50.0	56.0	84.0	0.0	21.0	26.0	47.0	72.0	18.0	233.0	178.0	15.0	58.0	56.0	0.0	86.0	121.0	56.0	206.0	61.0	49.0	18.0	117.0	124.0	127.0	58.0	27.0	177.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__JGI-0000079-D21	59.0	0.0	2.0	57.0	144.0	31.0	108.0	59.0	6.0	0.0	2.0	71.0	70.0	174.0	208.0	37.0	0.0	9.0	65.0	67.0	0.0	229.0	62.0	88.0	7.0	20.0	0.0	23.0	48.0	194.0	90.0	14.0	0.0	0.0	124.0	29.0	168.0	62.0	5.0	0.0	44.0	127.0	81.0
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__WCHB1-41;f__WCHB1-41;g__WCHB1-41	0.0	86.0	24.0	65.0	75.0	65.0	128.0	35.0	29.0	0.0	96.0	0.0	81.0	91.0	0.0	17.0	23.0	80.0	52.0	0.0	61.0	53.0	100.0	52.0	73.0	30.0	89.0	0.0	35.0	0.0	56.0	101.0	84.0	50.0	33.0	65.0	69.0	46.0	97.0	0.0	0.0	58.0	49.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Comamonas	49.0	0.0	79.0	120.0	42.0	107.0	97.0	82.0	33.0	2.0	16.0	6.0	58.0	39.0	3.0	0.0	0.0	10.0	0.0	51.0	76.0	0.0	0.0	0.0	0.0	0.0	50.0	67.0	34.0	0.0	43.0	0.0	0.0	88.0	52.0	48.0	0.0	0.0	33.0	55.0	94.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus	40.0	0.0	0.0	0.0	6.0	37.0	48.0	66.0	37.0	0.0	0.0	0.0	0.0	71.0	60.0	134.0	0.0	0.0	0.0	0.0	3.0	45.0	0.0	18.0	0.0	0.0	2.0	0.0	0.0	39.0	56.0	0.0	0.0	5.0	41.0	0.0	28.0	0.0	0.0	5.0	18.0	69.0	54.0
d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium	98.0	173.0	84.0	14.0	12.0	14.0	162.0	55.0	130.0	86.0	0.0	31.0	0.0	219.0	193.0	64.0	47.0	67.0	5.0	0.0	0.0	183.0	259.0	71.0	106.0	41.0	0.0	35.0	25.0	168.0	174.0	134.0	120.0	63.0	104.0	9.0	202.0	93.0	57.0	33.0	11.0	195.0	55.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Alishewanella	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	16.0	0.0	0.0	0.0	25.0	57.0	7.0	20.0	32.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	44.0	0.0	0.0	159.0	0.0
d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__uncultured;f__uncultured;g__uncultured	19.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	14.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	62.0	0.0	17.0	0.0	116.0	0.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__LD1-PB3;f__LD1-PB3;g__LD1-PB3	3.0	10.0	18.0	27.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	101.0	96.0	0.0	0.0	41.0	58.0	0.0	0.0	30.0	66.0	0.0	0.0	86.0	0.0	0.0	0.0	66.0	0.0	0.0	0.0	33.0	13.0	0.0	46.0	5.0	72.0	2.0	0.0	25.0	0.0
d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__Dojkabacteria;f__Dojkabacteria;g__Dojkabacteria	80.0	38.0	83.0	52.0	10.0	0.0	123.0	21.0	123.0	20.0	0.0	45.0	36.0	107.0	208.0	0.0	12.0	0.0	186.0	52.0	30.0	148.0	153.0	0.0	0.0	69.0	90.0	22.0	32.0	99.0	220.0	31.0	0.0	0.0	58.0	22.0	168.0	84.0	39.0	37.0	0.0	123.0	43.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobium	52.0	64.0	63.0	0.0	0.0	13.0	2.0	0.0	0.0	41.0	0.0	59.0	0.0	2.0	0.0	0.0	0.0	34.0	71.0	0.0	35.0	77.0	47.0	0.0	55.0	80.0	62.0	10.0	52.0	0.0	12.0	0.0	76.0	90.0	22.0	0.0	0.0	0.0	0.0	52.0	0.0	81.0	0.0
