#OTU ID,2280-046-AD01,2280-047-AD07,2280-048-B001,2280-049-B007,2280-050-B013,2280-051-B019,2280-052-N006,2280-053-N012,2280-054-AD02,2280-055-AD08,2280-056-B002,2280-057-B008,2280-058-B014,2280-059-N001,2280-060-N007,2280-061-N013,2280-062-AD03,2280-063-AD09,2280-064-B003,2280-065-B009,2280-066-B015,2280-067-N002,2280-068-N008,2280-069-N014,2280-070-AD04,2280-071-AD10,2280-072-B004,2280-073-B010,2280-074-B016,2280-075-N003,2280-076-N009,2280-077-AD06,2280-078-AD05,2280-079-AD11,2280-081-B011,2280-082-B017,2280-083-N004,2280-084-N010,2280-085-B006,2280-086-B012,2280-087-B018,2280-088-N005,2280-089-N011
d__Bacteria;p__Patescibacteria;c__Dojkabacteria;o__Dojkabacteria;f__Dojkabacteria;g__Dojkabacteria,80,38,83,52,10,0,123,21,123,20,0,45,36,107,208,0,12,0,186,52,30,148,153,0,0,69,90,22,32,99,220,31,0,0,58,22,168,84,39,37,0,123,43
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__Lentimicrobium,52,64,63,0,0,13,2,0,0,41,0,59,0,2,0,0,0,34,71,0,35,77,47,0,55,80,62,10,52,0,12,0,76,90,22,0,0,0,0,52,0,81,0
d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Fervidobacterium,0,0,0,0,0,66,15,125,0,0,0,0,70,2,72,58,0,0,0,0,22,47,28,0,0,0,35,69,46,2,58,0,0,0,0,111,61,140,0,0,37,70,266
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadaceae;g__Candidatus_Cloacimonas,15,0,84,60,0,17,151,68,0,3,5,76,0,104,99,0,0,35,0,100,27,97,100,0,0,46,39,71,51,49,48,0,0,74,47,22,229,34,70,129,0,126,9
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__uncultured,0,0,0,17,46,75,45,65,0,0,0,17,78,41,0,69,0,0,0,0,54,49,0,0,0,0,87,31,48,51,69,4,6,0,0,42,38,62,0,0,71,0,50
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Flexilinea,52,0,60,25,0,24,56,0,0,0,42,0,0,93,51,0,36,4,0,37,0,91,45,0,2,59,0,56,0,78,35,0,2,0,55,39,43,0,0,55,0,29,75
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group,0,0,0,0,0,0,0,66,22,0,0,0,0,0,0,52,75,0,0,0,6,0,0,104,41,0,0,0,16,0,0,13,0,0,0,40,0,68,0,0,47,0,40
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__UCG-004,70,2,4,3,30,93,0,0,0,0,16,6,0,0,0,149,61,3,15,0,0,2,0,84,80,6,0,0,2,0,0,0,0,21,0,0,0,95,16,0,90,0,43
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__uncultured,0,0,0,78,17,0,8,50,0,0,0,10,11,0,19,57,0,0,0,0,2,0,80,43,0,0,99,46,22,60,55,0,0,0,16,76,69,59,63,6,0,62,34
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__Victivallis,66,2,91,124,12,100,0,122,0,0,114,125,7,24,0,70,36,0,60,47,5,0,54,0,114,6,19,39,0,24,22,36,0,0,21,0,0,10,46,70,10,0,34
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;__,42,0,0,0,80,59,0,38,0,0,0,0,9,0,0,45,54,0,0,0,80,0,0,57,0,0,8,0,46,0,70,0,0,0,0,98,0,18,0,14,36,39,56
